"Name"|"Color"|"Mana Cost"|"MV"|"Oracle Text"|"Type"|"Subtype"|"Expend Value"|"ATK"|""|""|""|""
"Cursed Rock"|"Colorless"|"3"|"3"|"Whenever an opponent draws their 5th or 10th card each turn, deal two damage to them "|"Construct"|""|"C"|"0"|""|"3"|"1"|"1"
"Sacrificial Dagger"|"Colorless"|"3"|"3"|"If a ritual spell would require you to sacrifice 3 or more Summons with the same type, you may sacrifice 1 less "|"Construct"|""|"C"|"0"|""|"3"|"1"|"1"
"Familiar Power"|"Green"|"GG"|"2"|"ATK X: Where X is the number of differently named familiars you control."|"Construct"|""|"G"|"0"|""|"0"|"0"|"2"
"Actual Backup Generator"|"Green"|"GG"|"2"|"Fragile. Enters with 3 mana counters on it. [Once Per Turn] Remove a mana counter from this: add G"|"Construct"|""|""|""|""|"0"|"0"|"2"
"Personal Grove"|"Green"|"GG"|"2"|"The first spell yo cast each turn coests G less to cast. This doesn't reduce generic mana."|"Construct"|""|"G"|"0"|""|"0"|"0"|"2"
"Potion Of Burning Thorns"|"Green"|"2G"|"3"|"As an additional cost to play this spell, expend a Plant and a Fire from your storage. Sacrifice this Summon: choose one,
destroy target permanent OR deal four damage to target player. "|"Construct"|"Potion"|""|"0"|""|"2"|"1"|"2"
"Archmage's Robe"|"Colorless"|"10"|""|"You don’t take damage from effects you control"|"Construct"|"Item"|"C"|""|""|""|""|""
"Archmage's Assembly"|"Colorless"|"9"|""|"[End of Turn][Your turn]manifest 3 minion summons."|"Construct"|"Item Archmage"|"C"|""|""|""|""|""
"Placating Chant"|"White"|"1WWW"|""|"Summons get -1 ATK"|"Construct"|""|"W"|""|""|""|""|""
"Archmage's Staff"|"Colorless"|"8"|""|"Whenever you cast a spell, draw card."|"Construct"|"Archmage Item"|"C"|""|""|""|""|""
"Slow Win Condition"|"Blue"|"UU"|""|"Whenever you cast your first spell each turn, deal 1 damage."|"Construct"|""|"U"|""|""|""|""|""
"Imposing Tower"|"Colorless"|"8"|""|"Whenever you cast your first spell each turn, deal 4 damage OR destroy target construct"|"Construct"|"Tower"|"C"|""|""|""|""|""
"Conduit Cannon"|"White"|"1WW"|""|"[Action] Deal 2 damage to yourself and 3 damage to your opponent"|"Construct"|"Tower Life"|"W"|""|""|""|""|""
"Four Armed Technique"|"Green"|"3GGG"|""|"Your hand size is doubled."|"Construct"|"Transmute"|"G"|""|""|""|""|""
"Upspringing"|"Green"|"1GG"|""|"[Start Main Phase] If you haven't expended a card this turn and you have 5+ cards in your storage, you may aetherize your whole storage, if you do add 10 G"|"Construct"|""|"G"|""|""|""|""|""
"Scepter of Undeath"|"Black"|"1BB"|""|"[Once on your turn] You may play a summon or construct from your storage. It gains fragile."|"Construct"|"Item Scepter"|"B"|""|""|""|""|""
"Scepter of Time"|"Blue"|"1UU"|""|"[Opponent turn] [Once per turn]: Prevent one instance of damage that would damage you."|"Construct"|"Item Scepter"|"U"|""|""|""|""|""
"Scepter of Quakes"|"Green"|"1GG"|""|"[Once per turn][Your turn] target summon or construct loses all effects until your next turn"|"Construct"|"Item Scepter"|"G"|""|""|""|""|""
"Scepter of Possibility"|"Red"|"1RR"|""|"[Your Turn] [Once per turn]: Reveal the top of your deck, you may cast it now for 1 less. If you don’t, put it on the bottom of your deck."|"Construct"|"Item Scepter"|"R"|""|""|""|""|""
"Sharing is Caring"|"Black"|"B"|"1"|"Split second. Aetherize a card from your opponent's storage, you may cast it this turn, it gains fragile."|"Quick Spell"|""|"B"|""|""|"0"|"0"|"1"
"Prick"|"Black"|"B"|"1"|"Deal one damage to each player, then draw a card."|"Quick Spell"|""|"C"|""|""|"0"|"0"|"1"
"Breathe"|"Black"|"B"|"1"|"Gain 1 life, then draw a card."|"Quick Spell"|""|"C"|""|""|"0"|"0"|"1"
"Fleeting Split"|"Black"|"BBB"|"3"|"Destroy target Summon you control, create two tokens copies of it. Sacrifice them at the end of your turn. "|"Quick Spell"|""|"B"|""|""|"0"|"0"|"3"
"Discerning Eye"|"Black"|"B"|"1"|"Look at the top two cards of your deck, store one and aetherize the other "|"Quick Spell"|"Eye"|"C"|""|""|"0"|"0"|"1"
"Stumble"|"Blue"|"1U"|"2"|"Counter target spell unless it’s controller pays 2 "|"Quick Spell"|""|"U"|""|""|"1"|"1"|"2"
"Cool Off"|"Blue"|"UU"|"2"|"All summons get -2 attack until your next turn"|"Quick Spell"|""|"U"|""|""|"0"|"0"|"2"
"Mind Prick"|"Blue"|"U"|"1"|"Deal one damage to target player, draw a card."|"Quick Spell"|"Mind"|"U"|""|""|"0"|"0"|"1"
"Counterburst"|"Blue"|"1UU"|"3"|"Fragile. Counter target card, its controller aetherizes cards from their library equal to the card's mana cost."|"Quick Spell"|"Mind"|"U"|""|""|"1"|"1"|"3"
"Better Idea"|"Blue"|"1UU"|"3"|"Counter a spell you control. Channel X cards from your deck where X is twice that card's mana cost."|"Quick Spell"|""|""|""|""|"1"|"1"|"3"
"Curious Eye"|"Blue"|"U"|"1"|"Draw 2 cards"|"Quick Spell"|"Mind"|"C"|""|""|"0"|"0"|"1"
"Shoplift"|"Blue"|"3U"|""|"Look at the top 3 cards of your deck, put two into your hand and the other into storage. Deal 2 damage to target player."|"Quick Spell"|"Trickery"|"U"|""|""|""|""|""
"Talk Down"|"Blue"|"1UU"|""|"Counter target spell with cost 4 or less. Deal 1 damage to target player."|"Quick Spell"|"Arcane"|"U"|""|""|""|""|""
"Take Backsies"|"Blue"|"U"|""|"Return target card to its owner’s hand, its owner adds mana equal to its mana cost. Deal 1 damage to that player for each mana that drains from their pool."|"Quick Spell"|""|"C"|""|""|""|""|""
"Shove"|"Blue"|"U"|""|"Return target summon to its owner’s hand. They may retain one additional card next turn."|"Quick Spell"|""|"C"|""|""|""|""|""
"Short Term Plans"|"Blue"|"UU"|""|"Draw 2 cards, then put a card from your hand on top of your deck"|"Quick Spell"|"Mind"|"U"|""|""|""|""|""
"Thank Ahead"|"Blue"|"2UU"|""|"Draw cards equal to your hand size, then put 4 of them on top of your deck. Deal 2 damage."|"Quick Spell"|"Mind"|"U"|""|""|""|""|""
"Temporary Leave"|"Colorless"|"3"|"3"|"You and your permanents cannot be targeted until the end of this turn "|"Quick Spell"|""|"C"|""|""|"3"|"1"|"1"
"Hide"|"Green"|"1GG"|"3"|"Your life total can’t be changed by effects your opponent controls until end of turn "|"Quick Spell"|""|"G"|""|""|"1"|"1"|"3"
"Backup Generator"|"Green"|"G"|"1"|"Fragile. Draw a card."|"Quick Spell"|""|"GG"|""|""|"0"|"0"|"1"
"Green Shock"|"Green"|"G"|"1"|"Deal 2 damage to any target"|"Quick Spell"|"Thorn"|"C"|""|""|"0"|"0"|"1"
"Kind Eye"|"Green"|"G"|""|"Add a summon from your reserve to your hand."|"Quick Spell"|"Eye"|"C"|""|""|""|""|""
"Combo"|"Red"|"1R"|"2"|"Deal 2 damage to target player, then, if you have cast another spell this turn, draw a card. "|"Quick Spell"|"Flame"|"R"|""|""|"1"|"1"|"2"
"Lightning Strike"|"Red"|"1R"|"2"|"Deal 3 damage to target player."|"Quick Spell"|"Zap"|"R"|""|""|"1"|"1"|"2"
"Agile Shock"|"Red"|"R"|"1"|"Deal 1 damage to target player, then aetherize the top card of your library, you may play it this turn. "|"Quick Spell"|"Zap"|"R"|""|""|"0"|"0"|"1"
"Recover"|"White"|"1W"|"2"|"If you lost life this turn, gain 5 life "|"Quick Spell"|"Trap"|"W"|""|""|"1"|"1"|"2"
"Wreen Shock"|"White"|"W"|"1"|"Deal 2 damage to target player."|"Quick Spell"|"Life"|"C"|""|""|"0"|"0"|"1"
"Selfmend"|"White"|"1WW"|"3"|"Gain 5 life."|"Quick Spell"|"Life"|"W"|""|""|"1"|"1"|"3"
"Watchful Eye"|"White"|"W"|"1"|"The next time target permanent would be destroyed, it isn't instead."|"Quick Spell"|"Eye"|"C"|""|""|"0"|"0"|"1"
"Emergency Stitches"|"White"|"1WW"|"3"|"If you have 7 or less life, gain 7 life, otherwise gain 4 life"|"Quick Spell"|"Life"|"W"|""|""|"1"|"1"|"3"
"Lifewield"|"White"|"1WW"|"3"|"Deal 5 damage to target opponent and deal 3 damage to yourself. "|"Quick Spell"|"Life"|"W"|""|""|"1"|"1"|"3"
"Restock"|"Blue"|"1UU"|""|"Restock"|"Quick Spell"|"Arcane"|"U"|""|""|""|""|""
"Manamation"|"Black"|"BBB"|""|"Put all cards in your storage onto the arena facedown, they are elemental Summons."|"Quick Spell"|""|"B"|""|""|""|""|""
"Pyrosnap"|"Red"|"1R"|""|"Deal 2 damage. [Your Turn] Aetherize this card from your hand or storage. Deal 1 damage."|"Quick Spell"|""|"R"|""|""|""|""|""
"Mid Lifegain"|"White"|"3WW"|""|"Gain 4 life"|"Quick Spell"|"Life"|"WW"|""|""|""|""|""
"Tiny Free Burn"|"Red"|"1R"|""|"Deal 2 damage"|"Quick Spell"|"Flame"|"RR"|""|""|""|""|""
"Sneeze"|"Blue"|"U"|""|"Counter target triggered ability"|"Quick Spell"|""|"U"|""|""|""|""|""
"Spell Stagger"|"Blue"|"1UU"|""|"Put target non ritual card on top of its owners deck."|"Quick Spell"|"Mind"|"U"|""|""|""|""|""
"GOTTEM"|"Colorless"|"0"|""|"Fragile. Counter target spell unless it's controller pays 1"|"Quick Spell"|"Ragebait"|"C"|""|""|""|""|""
"Form Rupture"|"Red"|"RR"|""|"Sacrifice a construct, if you do deal damage equal to it's mana cost."|"Quick Spell"|"Flame"|"R"|""|""|""|""|""
"Flexible Red Idea"|"Red"|"XR"|"1"|"Deal X damage to target player, then aetherize the top card of your library, you may play it this turn. "|"Quick Spell "|""|"R"|""|""|"0"|"X"|"2"
"Familiar Voltron"|"Colorless"|"6"|""|"Requirement: Control familiars of 3 or more different colors. Extra Strike 2. ATK X, where X is the number of familiar's aetherized with it. As this enters, aetherize any number of familiars you control until this leaves the arena."|"Ritual Construct Summon"|"Familiar "|"O"|""|""|""|""|""
"Life Transferrence"|"Black"|"1BBBB"|"5"|"Requirements: -gained life twice this turn -lost life twice this turn. Deal 8 damage to target player and gain 4 life"|"Ritual Spell"|""|"B"|""|""|"1"|"1"|"5"
"Soul Pyre"|"Black"|"1BBB"|""|"Requirements: Sacrifice X summons Deal X damage"|"Ritual Spell"|""|"B"|""|""|""|""|""
"Mind's Triumph"|"Blue"|"1UUU"|"4"|"Requirements: Have twelve or more cards in hand. Target opponent aetherizes all but the top ten cards of their library."|"Ritual Spell"|"Mental"|"U"|""|""|"1"|"1"|"4"
"Equalize"|"Blue"|"2UUU"|""|"Requirements: -the difference between each players life total is at least 7 Each life total becomes 10"|"Ritual Spell"|"Arcane"|"U"|""|""|""|""|""
"Fiery Culmination"|"Red"|"1RRRR"|"5"|"Requirements: Have 5 flame spells in your storage
Deal 8 damage to target player and destroy up to two target permanents "|"Ritual Spell"|"Flame"|"R"|""|""|"1"|"1"|"5"
"Grand Inferno"|"Red"|"1RRRR"|"5"|"Cast this spell from your extra deck only if you’ve cast 3 Flame Spells this turn. Deal 7 damage to any target."|"Ritual Spell"|"Flame"|"R"|""|""|"1"|"1"|"5"
"Achieved Omnipotence"|"R/U"|"2RRRUUU "|""|"Requirements: -have cast at least 7 spells this turn You may cast spells from your hand without paying their mana costs for the rest of this turn "|"Ritual Spell"|""|"U/R"|""|""|""|""|""
"Grand Beast Summoning"|"Green"|"2GGGGGGGG"|""|"Requirements - have five differently named familiars in play. Recruit 3 familiars, put 2 +ATK counters on each familiar you control"|"Ritual Spell"|""|"G"|""|""|""|""|""
"Grand Beast Summoning 2"|"Green"|"2GGGGG"|""|"Requirement - have five differently named familiars in play. Recruit familiar, and put an attack counter on it for each other familiar you control."|"Ritual Spell"|""|"G"|""|""|""|""|""
"Lethality Transfer"|"White"|"WWW"|""|"Requirement - have lost life 7 times this turn. Destroy target player"|"Ritual Spell"|"Life"|"WW"|""|""|""|""|""
"Lemming Lord"|"Black"|"BB"|"2"|"Requirements: control 3 lemmings. When this enters sac any number of other familiars to deal that much dmg to both players and draw that many cards "|"Ritual Summon"|"Familiar Lemming"|"BB"|"0"|""|"0"|"0"|"2"
"Ravenous Archfiend"|"Black"|"2BBBB"|""|"Requirement: sacrifice 3 summons. ATK 6. At the end of your turn, sacrifice a summon, if you don’t, this summon deals damage to you instead of your opponent."|"Ritual Summon"|"Demon"|"BB"|"6"|""|""|""|""
"Old One"|"Black"|"4BBBB"|""|"Requirements: -sacrifice a summon -aetherize 6 cards from your hand ATK 10. Your hand size is reduced 2."|"Ritual Summon"|"Freako"|"BB"|"10"|""|""|""|""
"Demonic Tutor"|"Black"|"2BBB"|""|"Requirement - sacrifice 3 summons. ATK 4. [Enters]/[Main] Draw two cards."|"Ritual Summon"|"Demon"|"B"|"4"|""|""|""|""
"Giant Tree"|"Green"|"GGGGG"|"5"|"Requirement: -have at least 15 cards in your storage. ATK 5. [Action] Destroy target permanent an opponent controls"|"Ritual Summon"|"Plant"|"GG"|"5"|""|"0"|"0"|"5"
"Grand Aegis"|"White"|"1WWWW"|"5"|"Requirements: Control two constructs. You take half damage, rounded up."|"Ritual Summon"|"Construct"|"W"|"0"|""|"1"|"1"|"5"
"Elder Bog Elemental"|"Green"|"2GG"|""|"Requirements: Aetherize 2 earth and 2 water cards from your storage. Whenever you play a card, mill 2 cards."|"Ritual Summon"|"Water Elemental"|"G"|""|""|""|""|""
"Concuss"|"Black"|"1BB"|""|"Deal 2 damage to target player, that player draws one less card on their next draw step."|"Spell"|""|"B"|""|""|""|""|""
"Value Extraction"|"Black"|"1BB"|""|"Sacrifice any number of permanents, draw that many cards."|"Spell"|""|"B"|""|""|""|""|""
"Grand Spirit Summoning"|"Blue"|"UUUUU"|"5"|"Aetherize cards from your library until you reveal a Geist, then put it into play. "|"Spell"|"Ethereal"|"U"|""|""|"0"|"0"|"5"
"Increasing Returns"|"Blue"|"1U"|"2"|"You may run up to 5 of this card in your deck Draw a card, then draw a card for each Increasing Returns in your storage and aether."|"Spell"|""|"C"|""|""|"1"|"1"|"2"
"Make A Stink"|"Blue"|"2UUU"|""|"Deal 3 damage to your opponent, return two permanents to their owner’s hands."|"Spell"|"Arcane"|"U"|""|""|""|""|""
"Shocking Escape"|"Blue"|"1U"|""|"Return target summon to its owners hand, deal 2 damage to its controller."|"Spell"|""|"U"|""|""|""|""|""
"Repel"|"Blue"|"2U"|""|"Return target summon to it’s owners hand. Deal 1 damage."|"Spell"|"Arcane"|"U"|""|""|""|""|""
"Obliterate"|"Colorless"|"4"|"4"|"Destroy target summon"|"Spell"|""|"C"|""|""|"4"|"1"|"1"
"Resource Sap"|"Green"|"XG"|"1"|"Exile up to X cards from a graveyard, then mill X cards "|"Spell"|""|""|""|""|"0"|"X"|"2"
"Hasty Strike"|"Red"|"2RR"|""|"You may expend cards from your hand in addition to your storage to pay for this spell. Deal 4 damage to target player"|"Spell"|"Flame"|"R"|""|""|""|""|""
"Charge Up"|"Red"|"R"|"1"|"Deal 1 damage to each player, then if this is the first card you've played this turn, draw 2 cards, otherwise draw 1 card"|"Spell"|"Zap"|"R"|""|""|"0"|"0"|"1"
"Finisher"|"Red"|"2RRR"|""|"Deal 7 damage to target player. Cast this spell only if your opponent has 7 life."|"Spell"|"Flame"|"R"|""|""|""|""|""
"Soul Explosion"|"White"|"2WWWW"|"6"|"Deal 8 damage to target player and 4 damage to yourself"|"Spell"|"Life"|"W"|""|""|"2"|"1"|"5"
"Overpower"|"White"|"WWWWWW"|"6"|"Pay up to half your current hp to deal damage to an opponent"|"Spell"|"Life"|"W"|""|""|"0"|"0"|"6"
"Mutual Assurance"|"White"|"2W"|"3"|"Deal 4 damage to each player"|"Spell"|"Life"|"W"|""|""|"2"|"1"|"2"
"Exertion"|"White"|"1WW"|"3"|"Deal 2 damage to yourself, choose one: -destroy target permanent -deal 3 damage to target player"|"Spell"|""|"W"|""|""|"1"|"1"|"3"
"Reset"|"White"|"WW"|""|"Gain life equal to the damage that was dealt to you this turn."|"Spell"|"Life"|"W"|""|""|""|""|""
"Lifeblast"|"White"|"XWW"|"2"|"As an additional cost to cast this spell, pay 3 life. Deal X damage."|"Spell"|"Life"|"W"|""|""|"0"|"X"|"3"
"Final Rest"|"B/W"|"2BW"|""|"Aetherize a permanent and aetherize 2 cards from a storage "|"Spell"|""|"B/W"|""|""|""|""|""
"Double Slap"|"Green"|"GG"|""|"Target summon gains Extra Strike 1 until end of turn. (Extra strikes stack.)"|"Spell"|""|"G"|""|""|""|""|""
"Damaging Bolt"|"Red"|"2R"|""|"Deal 3 damage OR Destroy target summon or construct with value 4 or less."|"Spell"|"Zap"|"R"|""|""|""|""|""
"Invasive Growth"|"Green"|"2G"|""|"Draw a card, mill two cards OR Destroy target summon or construct with cost 4 or less."|"Spell"|"Spell"|"G"|""|""|""|""|""
"Recoil Slam"|"White"|"2W"|""|"Deal 4 damage, deal 2 damage to yourself OR Destroy target summon or construct with cost 4 of less"|"Spell"|"Life"|"W"|""|""|""|""|""
"Power Expansion"|"Blue"|"2U"|""|"Deal 1 damage, draw 2 cards OR Destroy target summon or construct with cost 4 of less"|"Spell"|"Arcane"|"U"|""|""|""|""|""
"Corrosive Grasp"|"Black"|"2B"|""|"Target opponent aetherizes a card from their hand and their storage OR Destroy target summon or construct with cost 4 or less"|"Spell"|"Acid"|"B"|""|""|""|""|""
"Thought Stumble"|"Black"|"B"|""|"Look at target player's hand, discard a card from it."|"Spell"|"Mind"|"B"|""|""|""|""|""
"Dominate Will"|"Blue"|"3UUU"|""|"Gain control of target summon"|"Spell"|"Mind"|"U"|""|""|""|""|""
"Peer Over Pages"|"Blue"|"2UU"|""|"Draw five cards."|"Spell"|"Mind"|"U"|""|""|""|""|""
"Overcharge"|"Green"|"XGG"|""|"Each player mills twice X cards"|"Spell"|"Arcane"|"G"|""|""|""|""|""
"Overwhelming Blast"|"White"|"3WWWWW"|""|"Deal 10 damage, deal 7 damage to yourself."|"Spell"|"Life"|"W"|""|""|""|""|""
"Plow Under"|"Green"|"GG"|""|"Put up to three cards from your opponents storage on top of their deck"|"Spell"|""|"G"|""|""|""|""|""
"Vampiric Eye"|"Black"|"2B"|""|"Each of your summons deals 1 damage to an opponent and heals you 1 health."|"Spell"|"Eye"|"B"|""|""|""|""|""
"Balm Burn"|"Red"|"1R"|""|"Deal 2 damage. Whenever your opponent gains life, you may return this card from your storage to your hand."|"Spell"|"Flame"|"R"|""|""|""|""|""
"Running On Empty"|"Red"|"R"|""|"Deal 1 damage. If you have no cards in hand, draw a card. Draw a card."|"Spell"|"Zap"|"R"|""|""|""|""|""
"Resourceful Bolt"|"Red"|"2R"|""|"Deal 3 damage. [Expend] If you have 1 or less cards in hand, add R"|"Spell"|"Zap"|"R!"|""|""|""|""|""
"Second Wind 2"|"White"|"1WW"|""|"The next time you would lose the game this turn, your life becomes 7 and you draw two cards"|"Spell"|"Life"|"W"|""|""|""|""|""
"Perfect Obliteration"|"RWBGU"|"RRWWBBGGUU"|""|"Requirements: Control 5 permanents of five different colors. Destroy target player."|"Ritual Spell"|""|"O"|"“The first idiots to try this never got the chance to tell anyone” -Mystic Steve"|""|""|""|""
"Tear Apart"|"Green"|"2G"|""|"Destroy a construct with a cost of 5 or less."|"Spell"|""|"G"|""|""|""|""|""
"Exile"|"White"|"2WW"|""|"Send a summon or construct to the bottom of its owner’s deck"|"Spell"|""|"W"|""|""|""|""|""
"Immolate"|"Red"|"2R"|""|"Destroy a summon or construct that costs no more than 4 deal damage to an opponent equal to the difference"|"Spell"|"Flame"|"R"|""|""|""|""|""
"Lesser Offering"|"Black"|"1BB"|""|"Destroy a summon with a cost of 4 or less. Recruit an Imp."|"Spell"|""|"B"|""|""|""|""|""
"Never Was"|"Blue"|"2U"|""|"Aetherize a summon or construct with a cost greater than the number of cards in it's owner's storage"|"Spell"|""|"U"|""|""|""|""|""
"Mirage Volley"|"Blue"|"2UU"|""|"Deal 3 damage, then you may pay {2} to copy this spell."|"Spell"|"Mind"|"U"|""|""|""|""|""
"Mana Burn"|"White"|"1WW"|""|"Deal 5 damage to the players with the most cards in their storage, and 2 damage to each other player."|"Spell"|"Mana"|"W"|""|""|""|""|""
"Chilling Strike"|"Red"|"1GG"|""|"Deal 3 damage, then aetherize two cards in a storage"|"Spell"|"Frost"|"G"|""|""|""|""|""
"Snowball"|"Green"|"1G"|""|"Deal 2 damage. Target opponent’s hand size is reduced by 1 until your next turn."|"Spell"|"Frost"|"G"|""|""|""|""|""
"Spirit Of The End"|"Black"|"BB"|"2"|"Your opponent takes your overdraw damage."|"Summon"|"Geist"|"B"|""|""|"0"|"0"|"2"
"Head Thrall"|"Black"|"1BBBB"|"5"|"Abilities of Thralls you control trigger an additional time."|"Summon"|"Thrall Lord"|"B"|""|""|"1"|"1"|"5"
"Underling"|"Black"|"1B"|"2"|"[Enters] draw a card. "|"Summon"|"Minion"|"B"|"0"|""|"1"|"1"|"2"
"Lemming Leader"|"Black"|"1BB"|"3"|"[Enters] put a lemming with less than or equal to cost from your reserve into play."|"Summon"|"Familiar Lemming"|"B"|"0"|""|"1"|"1"|"3"
"Lemming Lout"|"Black"|"3BB"|"5"|"ATK 1. [Enters] put a lemming with less than or equal to cost from your reserve into play. [Once Per Turn] When this deals damage, up to one other Lemming deals one damage also."|"Summon"|"Familiar Lemming"|"B"|"1"|""|"3"|"1"|"3"
"Lemming Lyricist"|"Black"|"2BB"|"4"|"[Enters] target opponent aetherizes a card from their hand, then put a lemming with less than or equal to cost from your reserve into play."|"Summon"|"Familiar Lemming"|"B"|"0"|""|"2"|"1"|"3"
"Scowling Prick"|"Black"|"1B"|""|"[Enters] deal 1 damage to a player."|"Summon"|"Minion"|"B"|""|""|""|""|""
"Shrieking Horror"|"Black"|"2BB"|""|"[Enters] each player aetherizes their hand."|"Summon"|"Nasty"|"B"|"0"|""|""|""|""
"Muck Slinger"|"Black"|"1B"|""|"[Enters] deal 1 damage and each player aetherizes a card from their hand."|"Summon"|"Minion"|"B"|"0"|""|""|""|""
"Annoying Sneak"|"Black"|"1BB"|""|"[Enters] draw a card and your opponent aetherizes a card from their storage."|"Summon"|"Minion"|"B"|"0"|""|""|""|""
"Annoying Poltergeist"|"Blue"|"1UU"|"3"|"[Action] any number of target players aetherizes the top 6 cards of their library "|"Summon"|"Familiar Geist"|"U"|"0"|""|"1"|"1"|"3"
"Annoying Mage's Friend"|"Blue"|"2U"|"3"|"Retain +1"|"Summon"|""|"U"|"0"|""|"2"|"1"|"2"
"Foolhardy Apprentice"|"Colorless"|"5"|"5"|"Copy each spell you cast. At the end of your turn, if you didn’t cast more spells this turn than your last: Sacrifice this summon."|"Summon"|"Apprentice"|"C"|"0"|""|"5"|"1"|"1"
"Intern"|"Colorless"|"0"|"1"|"The first fragile spell you cast each turn loses fragile. Fragile."|"Summon"|"Apprentice"|"C"|"0"|""|"0"|"0"|"1"
"Evil Twin"|"Colorless"|"7"|"9"|"When your opponent casts a spell you may cast a copy of it "|"Summon"|""|"C"|"0"|""|"7"|"1"|"1"
"Slimey Squelcher"|"Green"|"3G"|"4"|"T: Copy a card you cast"|"Summon"|""|"G"|"0"|""|"3"|"1"|"2"
"Constrictor Vine"|"Green"|"2GGG"|"5"|"Your opponent’s maximum hand size is reduced by one to a minimum of 3 "|"Summon"|"Plant"|"G"|""|""|"2"|"1"|"4"
"Poison Vine"|"Green"|"1G"|"2"|"ATK 1"|"Summon"|"Plant"|"G"|"1"|""|"1"|"1"|"2"
"Familiar Lord"|"Green"|"2GG"|"4"|"ATK 1. Other familiars you control get +1 attack "|"Summon"|"Familiar Lord"|"G"|"1"|""|"2"|"1"|"3"
